일시,예상_재산피해규모(백만원)
2010-01-01,15.999614117606107
2010-01-02,55.97296174293588
2010-01-03,62.43965320417865
2010-01-04,831.5192213427017
2010-01-05,794.35827782622
2010-01-06,410.5669334808136
2010-01-07,335.2947120007396
2010-01-08,27.031455003300614
2010-01-09,17.27926147692027
2010-01-10,15.373210485719087
2010-01-11,59.06361980275912
2010-01-12,1145.4621105562394
2010-01-13,817.6806741754195
2010-01-14,39.90221927477974
2010-01-15,25.477989455088565
2010-01-16,16.55857855479293
2010-01-17,14.167396898361702
2010-01-18,15.78698849847419
2010-01-19,14.786469219118352
2010-01-20,103.92198253256748
2010-01-21,819.1224252500785
2010-01-22,410.3349276645798
2010-01-23,66.95256045499063
2010-01-24,14.440254285999202
2010-01-25,594.6104011512282
2010-01-26,24.736606623935906
2010-01-27,274.2515434695953
2010-01-28,37.563614471177196
2010-01-29,19.17345746945967
2010-01-30,110.8181386950497
2010-01-31,17.991304285712516
2010-02-01,168.92275377516364
2010-02-02,34.609478849683434
2010-02-03,42.1681390727549
2010-02-04,15.956326933593004
2010-02-05,14.167396898361702
2010-02-06,19.17345746945967
2010-02-07,15.78698849847419
2010-02-08,35.24199341388398
2010-02-09,15.78698849847419
2010-02-10,42.73774479233334
2010-02-11,349.40115335825254
2010-02-12,145.76808691867456
2010-02-13,31.68756108622801
2010-02-14,14.440254285999202
2010-02-15,70.78020362093156
2010-02-16,852.6927580394079
2010-02-17,45.80653567045048
2010-02-18,907.4751510403546
2010-02-19,24.377735051035476
2010-02-20,15.78698849847419
2010-02-21,15.78698849847419
2010-02-22,15.78698849847419
2010-02-23,15.78698849847419
2010-02-24,19.17345746945967
2010-02-25,124.02582722542076
2010-02-26,100.63436450944201
2010-02-27,113.53384595911541
2010-02-28,14.440254285999202
2010-03-01,756.1613342502633
2010-03-02,21.966559376032023
2010-03-03,82.7711220515059
2010-03-04,90.45101304165992
2010-03-05,106.29576974059026
2010-03-06,309.54185513381003
2010-03-07,20.225400044489504
2010-03-08,14.940840437727939
2010-03-09,1069.7273195940902
2010-03-10,819.8286928876366
2010-03-11,15.373210485719087
2010-03-12,25.043826812771055
2010-03-13,15.373210485719087
2010-03-14,366.60092608958473
2010-03-15,1798.547787819875
2010-03-16,836.5682181387031
2010-03-17,14.167396898361702
2010-03-18,43.53620936252626
2010-03-19,23.303784394919433
2010-03-20,836.5682181387031
2010-03-21,594.6104011512282
2010-03-22,70.68467171458641
2010-03-23,356.18079918780563
2010-03-24,105.32049083973733
2010-03-25,859.8311635102813
2010-03-26,872.3158813763562
2010-03-27,15.78698849847419
2010-03-28,16.55857855479293
2010-03-29,20.685189961439136
2010-03-30,15.956326933593004
2010-03-31,439.30043465281733
2010-04-01,1148.5601461550664
2010-04-02,70.78020362093156
2010-04-03,23.825040290773003
2010-04-04,15.78698849847419
2010-04-05,15.78698849847419
2010-04-06,72.97240306471937
2010-04-07,66.03352012783036
2010-04-08,15.78698849847419
2010-04-09,19.88540178320836
2010-04-10,15.78698849847419
2010-04-11,120.88244489726037
2010-04-12,104.53123820691579
2010-04-13,843.8723680815506
2010-04-14,66.03352012783036
2010-04-15,15.435425139820175
2010-04-16,15.78698849847419
2010-04-17,15.78698849847419
2010-04-18,42.1895652026847
2010-04-19,429.19466800696296
2010-04-20,15.78698849847419
2010-04-21,105.76213150749112
2010-04-22,163.47390531048947
2010-04-23,23.216253047812536
2010-04-24,20.685189961439136
2010-04-25,15.78698849847419
2010-04-26,160.93456365004084
2010-04-27,37.563614471177196
2010-04-28,158.27361552107047
2010-04-29,37.563614471177196
2010-04-30,18.09769799288695
2010-05-01,15.78698849847419
2010-05-02,15.78698849847419
2010-05-03,14.440254285999202
2010-05-04,15.78698849847419
2010-05-05,16.55857855479293
2010-05-06,22.792198790144077
2010-05-07,19.346738113486094
2010-05-08,15.78698849847419
2010-05-09,15.78698849847419
2010-05-10,78.9341008170133
2010-05-11,20.685189961439136
2010-05-12,14.535766448581366
2010-05-13,14.167396898361702
2010-05-14,15.78698849847419
2010-05-15,15.78698849847419
2010-05-16,15.78698849847419
2010-05-17,103.9032322477111
2010-05-18,342.79511568757005
2010-05-19,19.88540178320836
2010-05-20,15.78698849847419
2010-05-21,15.78698849847419
2010-05-22,266.8001851959308
2010-05-23,126.52486879942882
2010-05-24,26.223515526093067
2010-05-25,26.54826783816018
2010-05-26,13.461109382478558
2010-05-27,15.78698849847419
2010-05-28,15.78698849847419
2010-05-29,15.78698849847419
2010-05-30,15.78698849847419
2010-05-31,14.940840437727939
2010-06-01,16.55857855479293
2010-06-02,15.78698849847419
2010-06-03,15.78698849847419
2010-06-04,15.78698849847419
2010-06-05,15.78698849847419
2010-06-06,15.78698849847419
2010-06-07,19.88540178320836
2010-06-08,15.78698849847419
2010-06-09,15.78698849847419
2010-06-10,14.440254285999202
2010-06-11,168.03183091891935
2010-06-12,97.3587194619899
2010-06-13,15.78698849847419
2010-06-14,15.78698849847419
2010-06-15,15.78698849847419
2010-06-16,15.78698849847419
2010-06-17,19.000164326507623
2010-06-18,15.07140270366253
2010-06-19,15.07140270366253
2010-06-20,13.336601157227024
2010-06-21,14.440254285999202
2010-06-22,15.78698849847419
2010-06-23,15.07140270366253
2010-06-24,15.07140270366253
2010-06-25,141.76423987784793
2010-06-26,496.04386011095255
2010-06-27,293.56819538811965
2010-06-28,558.2124238547215
2010-06-29,257.5820165002144
2010-06-30,13.621622995267249
2010-07-01,12.733230768997522
2010-07-02,12.733230768997522
2010-07-03,111.05944554016
2010-07-04,12.733230768997522
